BSI_10m,CH4_Annual_Average,EVI_10m,LSWI_10m,NDRE_10m,NDVI_10m,NDWI_10m,annual_rainfall_mm,cropland_frac,mean_temp_celsius,vlcode,water_frac,VILLAGE CODE,VILLAGE NAME,DISTRICT NAME,VILLAGE PIN CODE,VILLAGE LATITUDE,VILLAGE LONGITUDE,"TOTAL CULTIVABLE AREA (IN HECTARES), IF IN ACRES DIVIDE BY 2.47","NET SOWN AREA (IN HECTARES) , IF IN ACRES DIVIDE BY 2.47","TOTAL AREA IRRIGATED (IN HECTARE), IF IN ACRES DIVIDE BY 2.47","TOTAL UNIRRIGATED LAND AREA (IN HECTARES), IF IN ACRES DIVIDE BY 2.47","TOTAL AREA COVERED UNDER IRRIGATION (DRIP, SPRINKLER), IF IN ACRES DIVIDE BY 2.47",NUMBER OF FARMERS USING DRIP/SPRINKLER IRRIGATION,TOTAL NUMBER OF FARMERS,NUMBER OF FARMERS ADOPTED ORGANIC FARMING DURING 2018-19,NUMBER OF FARMERS RECEIVED THE SOIL TESTING REPORT,DOES THE VILLAGE HAVE ACCESS TO CUSTOM HIRING CENTRE (AGRI-EQUIPMENTS),AVAILABILITY OF SOIL TESTING CENTRES,AVAILABILITY OF FERTILIZER SHOP,AVAILABILITY OF GOVERNMENT SEED CENTRES,WHETHER THIS VILLAGE IS A PART OF THE WATERSHED DEVELOPMENT PROJECT,AVAILABILITY OF VETERINARY CLINIC OR HOSPITAL,AVAILABILITY OF MILK COLLECTION CENTRE /MILK ROUTES / CHILLING CENTRES,ANY PROJECT SUPPORTING POULTRY DEVELOPMENT,ANY PROJECT SUPPORTING GOATARY DEVELOPMENT,ANY PROJECT SUPPORTING PIGERY DEVELOPMENT,DOES THE VILLAGE HAVE LIVESTOCK EXTENSION SERVICES,COMMUNITY PONDS USED FOR FISHERIES,PISCICULTURE - INLAND FISHERY/COASTAL FISHERY/ANY OTHER,COMMUNITY BIO GAS OR RECYCLE OF WASTE,AVAILABILITY OF COTTAGE AND SMALL SCALE UNITS (FABRICATION/CONSTRUCTION MATERIAL/DAIRY BASED/TEXTILE ETC.) UNITS,AVAILABILITY OF ELECTRICITY FOR DOMESTIC USE,NUMBER OF HOUSEHOLDS AVAILING BENEFITS OF PRADHAN MANTRI UJJWALA YOJANA (PMUY),TOTAL NUMBER OF HOUSEHOLDS USING CLEAN ENERGY (LPG/BIO GAS),USE OF SOLAR ENERGY/WIND ENERGY FOR ELECTRIFICATION OF THE HOUSE,NUMBER OF HOUSEHOLDS ELECTRIFIED BY SOLAR ENERGY/WIND ENERGY,NUMBER OF HOUSEHOLDS AVAILING THE BENEFITS UNDER SAUBHAGYA SCHEME,AVAILABILITY OF DRAINAGE FACILITIES,AVAILABILITY OF COMMUNITY RAIN WATER HARVESTING SYSTEM/POND/DAM/CHECK DAM ETC.,AVAILABILITY OF PIPED TAP WATER,NUMBER OF HOUSEHOLDS HAVING PIPED WATER CONNECTION,COMMUNITY WASTE DISPOSAL SYSTEM,NUMBER OF TOTAL POPULATION,NUMBER OF MALE,NUMBER OF FEMALE,NUMBER OF TOTAL HOUSEHOLD,NUMBER OF HOUSEHOLDS ENGAGED MAJORLY IN FARM ACTIVITIES,NUMBER OF HOUSEHOLDS ENGAGED MAJORLY IN NON-FARM ACTIVITIES,NUMBER OF HOUSEHOLDS WITH KUCCHA WALL AND KUCCHA ROOF,NUMBER OF HOUSEHOLDS NOT HAVING SANITARY LATRINES,NUMBER OF HOUSEHOLDS HAVING BPL RATION CARDS,TOTAL NUMBER OF ELIGIBLE HOUSEHOLDS UNDER NATIONAL FOOD SECURITY ACT (NFSA),NUMBER OF HOUSEHOLDS HAVING JAN-DHAN BANK ACCOUNT,AVAILABILITY OF MINOR FOREST PRODUCTION,NUMBER OF HOUSEHOLDS WHERE ONLY SOURCE OF LIVELIHOOD IS MINOR FOREST PRODUCTION,AVAILABILITY OF COMMUNITY FOREST,TOTAL APPROVED LABOUR BUDGET FOR THE YEAR 2018-19,TOTAL EXPENDITURE APPROVED UNDER NRM IN THE LABOUR BUDGET FOR THE YEAR 2018-19),SHP_total_geog,SHP_net_area_s,SHP_total_unir,SHP_area_irrig,SHP_canals_are,SHP_wells_tube,SHP_tanks_lake,SHP_waterfall_,SHP_closed_dra,SHP_open_drain,SHP_forest_are,SHP_barren_unc,SHP_land_under,SHP_culturable,SHP_fallows_la,SHP_current_fa,SHP_total_popu,SHP_total_hous,SHP_total_male,SHP_total_fema,Hidden_Irrigation_Intensity,Hidden_Farming_Penetration,Hidden_Flood_Irrigation_Hazard,Hidden_Stagnant_Water_Risk,Hidden_Dairy_Waste_Hazard,Hidden_Population_Pressure_On_Land,Hidden_Clean_Energy_Deficit,Hidden_Dry_Land_Fraction,Sat_Paddy_Flood_Confirmation,Sat_Water_AgriPressure,Sat_Waterlogging_Risk,Sat_Biomass_Production,Sat_DryLand_Confirmation,Sat_Biomass_Burning_Risk,Sat_Thermal_Decomposition_Rate,SHP_Irrigation_Discrepancy,Best_Irrigated_Area,SHP_Fallow_Fraction,SHP_Canal_Irrigation_Frac,SHP_Open_Drain_Fraction,Sat_NDRE_CropHealth_Pressure,Sat_MODIS_Cropland_Discrepancy,Sat_Anaerobic_Waterlogging_Index,Irrigation_Source_Canals,Irrigation_Source_Ground Water (Tube Well/Well/Pump),Irrigation_Source_Other,Irrigation_Source_Surface Water,Predicted_CH4_ppb,CRM,SMAM,CDP,In_Situ,Ex_Situ,Prime_Mover,General,Total_Machines,Layer_InSitu,Layer_ExSitu,Layer_General_PM,Layer_Schemes,merge_confidence,merge_stage
-0.1698466465781978,1934.3442294320184,1.6184918007779103,0.2609720716050621,0.3900613300396179,0.5816521412079881,-0.5522448031911115,750.9264740159409,1.0,23.070701693877595,38234,0.0,38234,Buh (188),Tarn Taran,143416,31.35135,74.77329,1.0,0.0,0.0,0.0,0.0,1,1,1,1,No,No ( Nearest facility2-5 kms),No ( Nearest facility2-5 kms),No ( Nearest facility2-5 kms),No,0.0,No,No,No,No,PashuSakhi/PashuMitra/GopalMitra or equivalent,0.0,No,0.0,0.0,14.0,1,0.0,No,,1,0.0,No,50 to 100% habitations covered,1,1,3000,1600,1400,575,1,4,1,1,YesElectricity:Yes Toilet:Both Computer Lab:Yes Play Ground:Yes Drinking Water:Yes Mid Day Meal Scheme:Yes Primary School Students:1 Primary School Teachers:1,1,1,No,0.0,No,1.0,1.0,1205.0,1077.0,0.0,1077.0,489.0,588.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,3064.0,557.0,1586.0,1478.0,0.0,0.0017391304347826,0.0,0.0,0.0,0.0,575.0,0.0,0.0,0.0,750.9264740159409,1.6184918007779103,0.0,0.5816521412079881,0.0,1077.0,538.5,0.0,0.4540389972144846,0.0,0.3900613300396179,1.0,0.0,0,1,0,0,1931.6881103515625,0,0,0,0,0,0,0,0,0,0,0,0,0.0,unmatched
-0.1803349654123394,1930.5157506561968,1.6513224755549425,0.2701671374334435,0.405202047618218,0.5971455029279544,-0.5615249018816141,750.9264740159409,1.0,23.070701693877595,38232,0.0,38232,Kirtowal (189),Tarn Taran,143416,31.2252254,74.8840256,1.0,0.0,0.0,0.0,0.0,1,1,1,1,No,No ( Nearest facility2-5 kms),No ( Nearest facility2-5 kms),No ( Nearest facility2-5 kms),No,0.0,No,No,No,No,Livestock Extension Officer,0.0,No,0.0,0.0,14.0,1,0.0,No,,1,0.0,No,50 to 100% habitations covered,1,11,4150,2125,2025,800,1,1,1,1,No ( Nearest facility2-5 kms),1,1,No,0.0,No,1.0,1.0,1042.0,893.0,0.0,893.0,699.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3915.0,716.0,2069.0,1846.0,0.0,0.00125,0.0,0.0,0.0,0.0,800.0,0.0,0.0,0.0,750.9264740159409,1.6513224755549425,0.0,0.5971455029279544,0.0,893.0,446.5,0.0,0.7827547592385219,0.0,0.405202047618218,1.0,0.0,0,0,0,1,1928.02490234375,0,0,0,0,0,0,0,0,0,0,0,0,0.0,unmatched
-0.1420253442219728,1932.0744141830096,1.5156942255906198,0.2308288987247266,0.3718304509220042,0.555351214917684,-0.5375169280972636,750.9264740159409,1.0,23.070701693877595,38241,0.0,38241,Burj Deva Singh (185),Tarn Taran,143416,31.2252254,74.8840256,1.0,0.0,0.0,0.0,0.0,1,1,1,1,No,No ( Nearest facility2-5 kms),No ( Nearest facility2-5 kms),No ( Nearest facility2-5 kms),No,0.0,No,No,No,No,PashuSakhi/PashuMitra/GopalMitra or equivalent,0.0,No,0.0,0.0,14.0,1,0.0,No,,2,0.0,No,50 to 100% habitations covered,1,1,950,470,430,170,4,60,1,1,No ( Nearest facility2-5 kms),1,1,No,0.0,No,1.0,1.0,208.0,187.0,0.0,187.0,174.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,839.0,143.0,451.0,388.0,0.0,0.0235294117647058,3.0,0.0,0.0,0.0,170.0,0.0,0.0,0.0,750.9264740159409,1.5156942255906198,0.0,0.555351214917684,0.0,187.0,93.5,0.0,0.93048128342246,0.0,1.4873218036880167,1.0,0.0,0,1,0,0,1926.5750732421875,0,0,0,0,0,0,0,0,0,0,0,0,0.0,unmatched
-0.1389497849825,1932.819465803688,1.594193121133612,0.2228462662287688,0.3812667873395853,0.5668173647491884,-0.5344190991783799,747.0327467758997,1.0,23.131538695009823,34294,0.0,34294,Ghuram (44),Tarn Taran,143416,31.477478,74.89501,1.0,0.0,0.0,0.0,0.0,1,1,1,1,No,No ( Nearest facility2-5 kms),No ( Nearest facility2-5 kms),No ( Nearest facility2-5 kms),No,0.0,No,No,No,No,Not Available,0.0,No,0.0,0.0,14.0,1,0.0,No,,1,0.0,No,50 to 100% habitations covered,1,1,400,225,175,70,1,1,1,1,No ( Nearest facility1-2 kms),1,1,No,0.0,No,1.0,1.0,122.0,118.0,0.0,118.0,0.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,49.0,155.0,129.0,0.0,0.0142857142857142,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,747.0327467758997,1.594193121133612,0.0,0.5668173647491884,0.0,118.0,59.0,0.0,0.0,0.0,0.3812667873395853,1.0,0.0,0,0,1,0,1926.221923828125,0,0,0,0,0,0,0,0,0,0,0,0,0.0,unmatched
-0.1541968805551114,1930.0434532665424,1.5723110119393269,0.2400880617222034,0.3723594066044726,0.5494021635759913,-0.5212519855429598,736.2780837730563,1.0,23.299573435232663,34295,0.0,34295,Fatehgarh Sabrah (41),FIROZEPUR,142044,31.0630627,74.8402,781.1,0.0,781.1,0.0,781.1,680,680,4,7,Yes,No ( Nearest facility2-5 kms),Yes,No ( Nearest facility5-10 kms),No,0.0,Yes,Yes,Yes,No,Not Available,0.0,Yes,0.0,0.0,14.0,12,0.0,Yes Number of Households utilising Solar Energy/Wind Energy : 5,Number of Households utilising Solar Energy/Wind Energy : 5,4,0.0,Yes,50 to 100% habitations covered,56,200,3650,1925,1725,485,400,85,5,0,YesElectricity:Yes Toilet:Both Computer Lab:Yes Play Ground:Yes Drinking Water:Yes Mid Day Meal Scheme:Yes Primary School Students:100 Primary School Teachers:1,0,15,Yes,5.0,No,1000000.0,1000000.0,959.0,780.0,0.0,780.0,135.0,200.0,445.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2459.0,453.0,1294.0,1165.0,1.0,0.8247422680412371,0.0,0.0,0.0,0.0,485.0,0.0,187.5327850112131,0.0,736.2780837730563,1228.1321314258082,0.0,0.5494021635759913,0.0,1.1000000000000227,780.55,0.0,0.173076923076923,0.0,148.94376264178902,0.0,0.0,1,0,0,0,1925.76025390625,0,0,0,0,0,0,0,0,0,0,0,0,0.0,unmatched
-0.1484749298311185,1928.827866613825,1.5480583998490454,0.2364343487064928,0.3834452750174651,0.5629592213247101,-0.5342014854006023,746.278456192442,0.9747593095118562,23.138496681517218,38225,0.0,38225,Sabhrai (190),Tarn Taran,143416,31.2428455,74.8236,852.0,0.0,258.0,58.0,82.0,0,75,25,12,No,No ( Nearest facility5-10 kms),Yes,No ( Nearest facilityMore than 10 kms),No,0.0,Yes,No,No,No,PashuSakhi/PashuMitra/GopalMitra or equivalent,0.0,No,0.0,0.0,14.0,53,0.0,No,,2,0.0,No,100% habitations covered,825,51,14420,8202,6218,2583,852,452,3,51,YesElectricity:Yes Toilet:Both Computer Lab:Yes Play Ground:Yes Drinking Water:Yes Mid Day Meal Scheme:Yes Primary School Students:328 Primary School Teachers:4,21,85,No,0.0,No,2500000.0,1200000.0,4809.0,4389.0,0.0,4389.0,0.0,4389.0,0.0,0.0,0.0,0.0,0.0,316.0,0.0,0.0,0.0,0.0,13210.0,2358.0,6982.0,6228.0,0.3028169014084507,0.329849012775842,852.0,0.0,0.0,0.0,2583.0,0.068075117370892,61.00006196627514,0.0,746.278456192442,1318.9457566713866,0.0,0.5629592213247101,0.0,4131.0,2323.5,0.0,0.0,0.0,326.69537431488027,572.4949317041014,0.0,0,1,0,0,1925.668701171875,0,0,0,0,0,0,0,0,0,0,0,0,0.0,unmatched
-0.093798095245673,1932.2703014343888,1.402995926127126,0.1692882364293348,0.3199045783364813,0.4818097242956486,-0.4648019574471855,749.8199019615417,1.0,23.087991175440905,38233,0.0,38233,Kuttiwala (353),Tarn Taran,143416,31.477478,74.89501,1.0,0.0,0.0,0.0,0.0,1,1,1,1,No,No ( Nearest facility2-5 kms),No ( Nearest facility2-5 kms),No ( Nearest facility1-2 kms),No,0.0,No,No,No,No,Livestock Extension Officer,0.0,No,0.0,0.0,14.0,1,0.0,No,,1,0.0,No,50 to 100% habitations covered,1,1,700,375,325,100,1,1,1,1,YesElectricity:Yes Toilet:Both Computer Lab:Yes Play Ground:Yes Drinking Water:Yes Mid Day Meal Scheme:Yes Primary School Students:1 Primary School Teachers:1,1,1,No,0.0,No,1.0,1.0,221.0,205.0,0.0,205.0,0.0,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,556.0,85.0,296.0,260.0,0.0,0.01,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,749.8199019615417,1.402995926127126,0.0,0.4818097242956486,0.0,205.0,102.5,0.0,0.0,0.0,0.3199045783364813,1.0,0.0,0,0,1,0,1923.74365234375,0,0,0,0,0,0,0,0,0,0,0,0,0.0,unmatched
-0.0907012177769088,1925.8259977192688,1.336982522095856,0.1625574805959736,0.3373996798729469,0.4979822987330899,-0.4798021192724594,715.6956139018433,1.0,23.361904812953355,34298,0.0,34298,Tanna Bagga (42-B),FIROZEPUR,142044,31.0630627,74.81917,137.0,0.0,134.0,0.0,134.0,8,8,0,0,No,No ( Nearest facility2-5 kms),Yes,No ( Nearest facility2-5 kms),No,0.0,Yes,Yes,Yes,No,Not Available,0.0,No,0.0,0.0,14.0,1,0.0,No,,1,0.0,No,50 to 100% habitations covered,4,5,28,15,13,5,5,0,2,0,YesElectricity:Yes Toilet:Both Computer Lab:Yes Play Ground:Yes Drinking Water:Yes Mid Day Meal Scheme:Yes Primary School Students:108 Primary School Teachers:1,0,4,Yes,2.0,No,100000.0,100000.0,140.0,135.0,0.0,135.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,5.0,15.0,11.0,0.978102189781022,1.0,0.0,0.0,0.0,0.0,5.0,0.0,21.782702399860465,0.0,715.6956139018433,183.16660552713228,0.0,0.4979822987330899,0.0,1.0,134.5,0.0,1.0,0.0,1.6869983993647344,3.0,0.0,1,0,0,0,1923.528564453125,0,0,0,0,0,0,0,0,0,0,0,0,0.0,unmatched
-0.1331341633319997,1921.9328903995024,1.485085123855103,0.221474804614383,0.3765698710973971,0.56344032110513,-0.539149725118133,742.6827940156357,1.0,23.18908957684431,38201,0.0,38201,Jaur Singhwala (159),Tarn Taran,143416,31.2252254,74.820816,1.0,0.0,0.0,0.0,0.0,1,1,1,1,No,No ( Nearest facility2-5 kms),No ( Nearest facility2-5 kms),No ( Nearest facility2-5 kms),No,0.0,No,No,No,No,Livestock Extension Officer,0.0,No,0.0,0.0,0.0,1,0.0,No,,1,0.0,No,50 to 100% habitations covered,1,1,1525,800,725,300,1,1,1,1,No ( Nearest facility2-5 kms),1,1,No,0.0,No,1.0,1.0,433.0,393.0,0.0,393.0,333.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1483.0,268.0,778.0,705.0,0.0,0.0033333333333333,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,742.6827940156357,1.485085123855103,0.0,0.56344032110513,0.0,393.0,196.5,0.0,0.8473282442748091,0.0,0.3765698710973971,1.0,0.0,0,0,0,1,1923.30859375,0,0,0,0,0,0,0,0,0,0,0,0,0.0,unmatched
-0.1438127303582542,1930.47362973976,1.6111347522660766,0.2243872112957194,0.3879038951475732,0.5765689474438498,-0.5445749357926879,744.0867961223922,0.9743462387084438,23.177567292339475,34287,0.0,34287,Gati Harike (54/55),FIROZEPUR,142044,31.1171169,74.98802,220.0,0.0,0.0,0.0,0.0,0,15,3,0,No,No ( Nearest facility5-10 kms),No ( Nearest facility2-5 kms),No ( Nearest facility5-10 kms),No,0.0,Yes,No,No,No,Not Available,0.0,No,0.0,0.0,14.0,0,0.0,No,,0,0.0,No,100% habitations covered,0,2,273,156,117,49,40,0,2,5,No ( Nearest facility2-5 kms),0,0,No,0.0,No,500000.0,20000.0,332.0,224.0,0.0,224.0,0.0,224.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,2.0,9.0,0.0,242.0,45.0,144.0,98.0,0.0,0.8163265306122449,40.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,744.0867961223922,354.4496454985369,0.0,0.5765689474438498,0.0,224.0,112.0,0.0271084337349397,0.0,0.0,15.516155805902926,214.35617251585765,0.0,0,1,0,0,1923.1123046875,0,0,0,0,0,0,0,0,0,0,0,0,0.0,unmatched
