Dependent_Variable,Model,Machinery_Variable,Coefficient,P-Value,Significant,Direction
Predicted_CH4_ppb,Model A (Total),Total_Machines,0.012044607173790873,0.0005892744299059076,True,Positive (Contradicts)
Predicted_CH4_ppb,Model B (Disaggregated),In_Situ,0.09305384292405325,0.003935710870177054,True,Positive (Contradicts)
Predicted_CH4_ppb,Model B (Disaggregated),Ex_Situ,-0.04035375929141782,0.6508073564430149,False,Negative (Supports)
Predicted_CH4_ppb,Model B (Disaggregated),Prime_Mover,-0.11174001879192125,0.13604252137619416,False,Negative (Supports)
Predicted_CH4_ppb,Model B (Disaggregated),General,0.04310098482014746,0.3204206505076481,False,Positive (Contradicts)
Predicted_CH4_ppb,Model B (Disaggregated),CRM,-0.03039575521905291,0.22741003841124918,False,Negative (Supports)
Predicted_CH4_ppb,Model B (Disaggregated),SMAM,0.044117130627697065,0.24643473445888944,False,Positive (Contradicts)
Predicted_CH4_ppb,Model B (Disaggregated),CDP,-0.029660325919013353,0.7985104713479145,False,Negative (Supports)
CH4_Annual_Average,Model A (Total),Total_Machines,0.013265106202118425,0.0025715278016261865,True,Positive (Contradicts)
CH4_Annual_Average,Model B (Disaggregated),In_Situ,0.10898128387625608,0.007155700360276927,True,Positive (Contradicts)
CH4_Annual_Average,Model B (Disaggregated),Ex_Situ,-0.08021981110730869,0.47362164084864045,False,Negative (Supports)
CH4_Annual_Average,Model B (Disaggregated),Prime_Mover,-0.16421707226842563,0.08104801726241184,False,Negative (Supports)
CH4_Annual_Average,Model B (Disaggregated),General,0.08638546021356386,0.11278588680798163,False,Positive (Contradicts)
CH4_Annual_Average,Model B (Disaggregated),CRM,-0.03488753184728162,0.26985902467785927,False,Negative (Supports)
CH4_Annual_Average,Model B (Disaggregated),SMAM,0.04036900150363204,0.3982816349431461,False,Positive (Contradicts)
CH4_Annual_Average,Model B (Disaggregated),CDP,-0.054551609083745234,0.7084675769182112,False,Negative (Supports)
