Variable,Subset,N,Pearson_r,Pearson_p,Pearson_sig,Spearman_rho,Spearman_p,Spearman_sig,Partial_r,Partial_p,Partial_sig,Direction,Interpretation
In_Situ,All Villages,12467,0.1239,0.0,***,0.143,0.0,***,0.105,0.0,***,↑ Positive,Contradicts hypothesis
Ex_Situ,All Villages,12467,0.0734,0.0,***,0.0644,0.0,***,0.0611,0.0,***,↑ Positive,Neutral
Prime_Mover,All Villages,12467,0.0969,0.0,***,0.0884,0.0,***,0.0789,0.0,***,↑ Positive,Neutral
General,All Villages,12467,0.114,0.0,***,0.1352,0.0,***,0.0931,0.0,***,↑ Positive,Neutral
CRM,All Villages,12467,0.1198,0.0,***,0.1327,0.0,***,0.1012,0.0,***,↑ Positive,Contradicts hypothesis
SMAM,All Villages,12467,0.084,0.0,***,0.1012,0.0,***,0.0676,0.0,***,↑ Positive,Neutral
CDP,All Villages,12467,0.0714,0.0,***,0.0841,0.0,***,0.0525,0.0,***,↑ Positive,Neutral
Total_Machines,All Villages,12467,0.1321,0.0,***,0.1549,0.0,***,0.1109,0.0,***,↑ Positive,Contradicts hypothesis
In_Situ,Matched Villages Only,3339,0.1527,0.0,***,0.13,0.0,***,0.143,0.0,***,↑ Positive,Contradicts hypothesis
Ex_Situ,Matched Villages Only,3339,0.0709,4.1e-05,***,0.0231,0.182165,ns,0.0654,0.000154,***,↑ Positive,Neutral
Prime_Mover,Matched Villages Only,3339,0.0907,0.0,***,0.0448,0.009575,**,0.0812,3e-06,***,↑ Positive,Neutral
General,Matched Villages Only,3339,0.1382,0.0,***,0.1347,0.0,***,0.1253,0.0,***,↑ Positive,Contradicts hypothesis
CRM,Matched Villages Only,3339,0.145,0.0,***,0.0921,0.0,***,0.1354,0.0,***,↑ Positive,Contradicts hypothesis
SMAM,Matched Villages Only,3339,0.0794,4e-06,***,0.0692,6.3e-05,***,0.0703,4.7e-05,***,↑ Positive,Neutral
CDP,Matched Villages Only,3339,0.0974,0.0,***,0.1043,0.0,***,0.0823,2e-06,***,↑ Positive,Neutral
Total_Machines,Matched Villages Only,3339,0.1613,0.0,***,0.1552,0.0,***,0.1496,0.0,***,↑ Positive,Contradicts hypothesis
