BSI_10m,CH4_Annual_Average,EVI_10m,LSWI_10m,NDRE_10m,NDVI_10m,NDWI_10m,annual_rainfall_mm,cropland_frac,mean_temp_celsius,vlcode,water_frac,VILLAGE CODE,VILLAGE NAME,DISTRICT NAME,VILLAGE PIN CODE,VILLAGE LATITUDE,VILLAGE LONGITUDE,"TOTAL CULTIVABLE AREA (IN HECTARES), IF IN ACRES DIVIDE BY 2.47","NET SOWN AREA (IN HECTARES) , IF IN ACRES DIVIDE BY 2.47","TOTAL AREA IRRIGATED (IN HECTARE), IF IN ACRES DIVIDE BY 2.47","TOTAL UNIRRIGATED LAND AREA (IN HECTARES), IF IN ACRES DIVIDE BY 2.47","TOTAL AREA COVERED UNDER IRRIGATION (DRIP, SPRINKLER), IF IN ACRES DIVIDE BY 2.47",NUMBER OF FARMERS USING DRIP/SPRINKLER IRRIGATION,TOTAL NUMBER OF FARMERS,NUMBER OF FARMERS ADOPTED ORGANIC FARMING DURING 2018-19,NUMBER OF FARMERS RECEIVED THE SOIL TESTING REPORT,DOES THE VILLAGE HAVE ACCESS TO CUSTOM HIRING CENTRE (AGRI-EQUIPMENTS),AVAILABILITY OF SOIL TESTING CENTRES,AVAILABILITY OF FERTILIZER SHOP,AVAILABILITY OF GOVERNMENT SEED CENTRES,WHETHER THIS VILLAGE IS A PART OF THE WATERSHED DEVELOPMENT PROJECT,AVAILABILITY OF VETERINARY CLINIC OR HOSPITAL,AVAILABILITY OF MILK COLLECTION CENTRE /MILK ROUTES / CHILLING CENTRES,ANY PROJECT SUPPORTING POULTRY DEVELOPMENT,ANY PROJECT SUPPORTING GOATARY DEVELOPMENT,ANY PROJECT SUPPORTING PIGERY DEVELOPMENT,DOES THE VILLAGE HAVE LIVESTOCK EXTENSION SERVICES,COMMUNITY PONDS USED FOR FISHERIES,PISCICULTURE - INLAND FISHERY/COASTAL FISHERY/ANY OTHER,COMMUNITY BIO GAS OR RECYCLE OF WASTE,AVAILABILITY OF COTTAGE AND SMALL SCALE UNITS (FABRICATION/CONSTRUCTION MATERIAL/DAIRY BASED/TEXTILE ETC.) UNITS,AVAILABILITY OF ELECTRICITY FOR DOMESTIC USE,NUMBER OF HOUSEHOLDS AVAILING BENEFITS OF PRADHAN MANTRI UJJWALA YOJANA (PMUY),TOTAL NUMBER OF HOUSEHOLDS USING CLEAN ENERGY (LPG/BIO GAS),USE OF SOLAR ENERGY/WIND ENERGY FOR ELECTRIFICATION OF THE HOUSE,NUMBER OF HOUSEHOLDS ELECTRIFIED BY SOLAR ENERGY/WIND ENERGY,NUMBER OF HOUSEHOLDS AVAILING THE BENEFITS UNDER SAUBHAGYA SCHEME,AVAILABILITY OF DRAINAGE FACILITIES,AVAILABILITY OF COMMUNITY RAIN WATER HARVESTING SYSTEM/POND/DAM/CHECK DAM ETC.,AVAILABILITY OF PIPED TAP WATER,NUMBER OF HOUSEHOLDS HAVING PIPED WATER CONNECTION,COMMUNITY WASTE DISPOSAL SYSTEM,NUMBER OF TOTAL POPULATION,NUMBER OF MALE,NUMBER OF FEMALE,NUMBER OF TOTAL HOUSEHOLD,NUMBER OF HOUSEHOLDS ENGAGED MAJORLY IN FARM ACTIVITIES,NUMBER OF HOUSEHOLDS ENGAGED MAJORLY IN NON-FARM ACTIVITIES,NUMBER OF HOUSEHOLDS WITH KUCCHA WALL AND KUCCHA ROOF,NUMBER OF HOUSEHOLDS NOT HAVING SANITARY LATRINES,NUMBER OF HOUSEHOLDS HAVING BPL RATION CARDS,TOTAL NUMBER OF ELIGIBLE HOUSEHOLDS UNDER NATIONAL FOOD SECURITY ACT (NFSA),NUMBER OF HOUSEHOLDS HAVING JAN-DHAN BANK ACCOUNT,AVAILABILITY OF MINOR FOREST PRODUCTION,NUMBER OF HOUSEHOLDS WHERE ONLY SOURCE OF LIVELIHOOD IS MINOR FOREST PRODUCTION,AVAILABILITY OF COMMUNITY FOREST,TOTAL APPROVED LABOUR BUDGET FOR THE YEAR 2018-19,TOTAL EXPENDITURE APPROVED UNDER NRM IN THE LABOUR BUDGET FOR THE YEAR 2018-19),SHP_total_geog,SHP_net_area_s,SHP_total_unir,SHP_area_irrig,SHP_canals_are,SHP_wells_tube,SHP_tanks_lake,SHP_waterfall_,SHP_closed_dra,SHP_open_drain,SHP_forest_are,SHP_barren_unc,SHP_land_under,SHP_culturable,SHP_fallows_la,SHP_current_fa,SHP_total_popu,SHP_total_hous,SHP_total_male,SHP_total_fema,Hidden_Irrigation_Intensity,Hidden_Farming_Penetration,Hidden_Flood_Irrigation_Hazard,Hidden_Stagnant_Water_Risk,Hidden_Dairy_Waste_Hazard,Hidden_Population_Pressure_On_Land,Hidden_Clean_Energy_Deficit,Hidden_Dry_Land_Fraction,Sat_Paddy_Flood_Confirmation,Sat_Water_AgriPressure,Sat_Waterlogging_Risk,Sat_Biomass_Production,Sat_DryLand_Confirmation,Sat_Biomass_Burning_Risk,Sat_Thermal_Decomposition_Rate,SHP_Irrigation_Discrepancy,Best_Irrigated_Area,SHP_Fallow_Fraction,SHP_Canal_Irrigation_Frac,SHP_Open_Drain_Fraction,Sat_NDRE_CropHealth_Pressure,Sat_MODIS_Cropland_Discrepancy,Sat_Anaerobic_Waterlogging_Index,Irrigation_Source_Canals,Irrigation_Source_Ground Water (Tube Well/Well/Pump),Irrigation_Source_Other,Irrigation_Source_Surface Water,Predicted_CH4_ppb,CRM,SMAM,CDP,In_Situ,Ex_Situ,Prime_Mover,General,Total_Machines,Layer_InSitu,Layer_ExSitu,Layer_General_PM,Layer_Schemes,merge_confidence,merge_stage,Policy_Zone
-0.1146476647115469,1931.2097535737323,1.430541957951129,0.2039138361885966,0.3419349739803574,0.5166728821691788,-0.4994527137937227,756.8437912703733,0.8888577676642099,23.051671954722323,38242,0.0,38242,Harike (187),Tarn Taran,143416,31.2072067,74.89082,1.0,0.0,0.0,0.0,0.0,1,1,1,1,Yes,Yes,Yes,No ( Nearest facility5-10 kms),No,0.0,Yes,Yes,Yes,Yes,Livestock Extension Officer,0.0,No,0.0,0.0,14.0,1,0.0,Yes Number of Households utilising Solar Energy/Wind Energy : 0,Number of Households utilising Solar Energy/Wind Energy : 0,1,0.0,No,50 to 100% habitations covered,1,1,10000,5050,4950,1750,1,1,1,1,YesElectricity:Yes Toilet:Both Computer Lab:Yes Play Ground:Yes Drinking Water:Yes Mid Day Meal Scheme:Yes Primary School Students:2000 Primary School Teachers:1000,1,1,Yes,1.0,Yes,1.0,1.0,943.0,550.0,0.0,550.0,0.0,526.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8662.0,1620.0,4666.0,3996.0,0.0,0.0005714285714285,0.0,0.0,0.0,0.0,1750.0,0.0,0.0,0.0,756.8437912703733,1.430541957951129,0.0,0.5166728821691788,0.0,550.0,275.0,0.0,0.0,0.0,0.3419349739803574,0.8888577676642099,0.0,0,1,0,0,1926.130615234375,0,1,0,0,0,1,0,2,0,0,1,1,0.85,2-key (D+V),Policy Failure Zone
-0.180320507874747,1925.0812079502632,1.6601741332831992,0.2712549712219608,0.4120425385477335,0.6002586434291975,-0.5661240836362165,750.9264740159409,1.0,23.070701693877595,38226,0.0,38226,Tung (177),Tarn Taran,143416,31.36937,74.7454147,1.0,0.0,0.0,0.0,0.0,1,1,1,1,No,No ( Nearest facility2-5 kms),No ( Nearest facility5-10 kms),No ( Nearest facility2-5 kms),No,0.0,No,No,No,No,Not Available,0.0,No,0.0,0.0,14.0,1,0.0,No,,1,0.0,No,50 to 100% habitations covered,1,1,1150,625,505,230,1,1,1,1,No ( Nearest facility2-5 kms),1,1,No,0.0,No,1.0,1.0,308.0,279.0,0.0,279.0,0.0,279.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1123.0,206.0,601.0,522.0,0.0,0.0043478260869565,0.0,0.0,0.0,0.0,230.0,0.0,0.0,0.0,750.9264740159409,1.6601741332831992,0.0,0.6002586434291975,0.0,279.0,139.5,0.0,0.0,0.0,0.4120425385477335,1.0,0.0,0,1,0,0,1925.1326904296875,9,0,0,8,0,1,0,18,8,0,1,9,0.85,2-key (D+V),Unclassified
-0.1830401086694478,1924.407968381239,1.5948817498363996,0.2749716257495291,0.4188133647820702,0.6126810736948751,-0.5862102193449249,750.9264740159409,1.0,23.070701693877595,38237,0.0,38237,Burj Puhla (184),Tarn Taran,143416,31.2252254,74.8840256,1.0,0.0,0.0,0.0,0.0,1,1,1,1,No,No ( Nearest facility2-5 kms),No ( Nearest facility2-5 kms),No ( Nearest facility2-5 kms),No,0.0,No,No,No,No,Livestock Extension Officer,0.0,No,0.0,0.0,14.0,1,0.0,No,,11,0.0,No,<50% habitation covered,1,1,1050,550,500,200,30,30,1,1,No ( Nearest facility2-5 kms),1,1,No,0.0,No,1.0,1.0,138.0,127.0,0.0,127.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,185.0,550.0,450.0,0.0,0.15,29.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,750.9264740159409,1.5948817498363996,0.0,0.6126810736948751,0.0,127.0,63.5,0.0,1.0,0.0,12.564400943462106,1.0,0.0,0,0,0,1,1924.890625,1,0,0,1,0,0,0,2,1,0,0,1,0.85,2-key (D+V),Policy Failure Zone
-0.1402486832061878,1923.2582144910305,1.4228632337758549,0.2321341496843899,0.3814319804578949,0.5655398793471091,-0.5492859648236267,783.9546077797694,0.9905507178802716,23.136973799912614,38059,0.0,38059,Mari Megha (100),Tarn Taran,143305,31.36937,74.6399,250.0,0.0,60.0,70.0,11.0,0,123,0,5,No,No ( Nearest facility5-10 kms),No ( Nearest facility5-10 kms),No ( Nearest facility5-10 kms),No,0.0,No,No,No,No,Not Available,0.0,No,0.0,0.0,0.0,0,0.0,No,,0,0.0,No,50 to 100% habitations covered,11,141,2200,1100,1000,1100,124,112,0,8,No ( Nearest facility< 1 km),0,60,No,0.0,No,900000.0,80000.0,1815.0,1639.0,0.0,1639.0,1523.0,116.0,0.0,0.0,0.0,0.0,0.0,175.0,0.0,0.0,0.0,0.0,5867.0,1059.0,3088.0,2779.0,0.24,0.1127272727272727,124.0,0.0,0.0,0.0,1100.0,0.28,13.928048981063393,0.0,783.9546077797694,355.71580844396374,0.0,0.5655398793471091,0.0,1579.0,849.5,0.0,0.9292251372788286,0.0,47.297565576778965,187.6376794700679,0.0,0,1,0,0,1922.6480712890625,18,0,1,15,0,1,3,38,15,0,4,19,0.85,2-key (D+V),Unclassified
-0.1509721252170461,1924.522091847832,1.5546108015590927,0.2384765580970194,0.3916809230381845,0.5836513057729238,-0.5611600254782452,789.6240558468132,1.0,23.17184465509581,38055,0.0,38055,Dal (66),Tarn Taran,143305,31.2252254,74.63118,1971.65,0.0,1320.65,0.0,0.0,123,287,0,0,No,No ( Nearest facility5-10 kms),No ( Nearest facility5-10 kms),No ( Nearest facility5-10 kms),No,0.0,No,No,No,No,Not Available,0.0,No,0.0,0.0,14.0,0,0.0,No,,0,0.0,Yes,None ( Nearest facility5-10 kms),0,470,4490,2356,2130,778,450,328,40,89,YesElectricity:Yes Toilet:Both Computer Lab:No Play Ground:Yes Drinking Water:Yes Mid Day Meal Scheme:Yes Primary School Students:37 Primary School Teachers:22,0,337,No,0.0,No,900000.0,80000.0,1541.0,1321.0,0.0,1321.0,1321.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,0.0,0.0,0.0,0.0,4039.0,765.0,2122.0,1917.0,0.6698196941647858,0.5784061696658098,327.0,0.0,0.0,0.0,778.0,0.0,314.9440664508287,0.0,789.6240558468132,3065.1483868939854,0.0,0.5836513057729238,0.0,0.349999999999909,1320.825,0.0,1.0,0.0,176.25641536718302,651.0,0.0,0,1,0,0,1922.6279296875,3,0,0,3,0,0,0,6,3,0,0,3,0.85,2-key (D+V),Unclassified
-0.1582108415393378,1917.760715353544,1.5215153938017858,0.2485540996897891,0.4045942829944482,0.5942635715421819,-0.5724557349757328,742.6827940156357,1.0,23.18908957684431,38164,0.0,38164,Boparai (155),Tarn Taran,143416,31.477478,74.89501,1.0,0.0,0.0,0.0,0.0,1,1,1,1,No,No ( Nearest facility2-5 kms),No ( Nearest facility2-5 kms),No ( Nearest facility2-5 kms),No,0.0,No,No,No,No,Not Available,0.0,No,0.0,0.0,14.0,1,0.0,No,,1,0.0,No,50 to 100% habitations covered,1,1,2000,1080,920,370,1,1,1,1,YesElectricity:No Toilet:Both Computer Lab:Yes Play Ground:Yes Drinking Water:Yes Mid Day Meal Scheme:Yes Primary School Students:1 Primary School Teachers:1,1,1,No,0.0,No,1.0,1.0,342.0,291.0,0.0,291.0,0.0,291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1925.0,344.0,1043.0,882.0,0.0,0.0027027027027027,0.0,0.0,0.0,0.0,370.0,0.0,0.0,0.0,742.6827940156357,1.5215153938017858,0.0,0.5942635715421819,0.0,291.0,145.5,0.0,0.0,0.0,0.4045942829944482,1.0,0.0,0,0,1,0,1921.38330078125,1,0,0,1,0,0,0,2,1,0,0,1,0.85,2-key (D+V),Policy Failure Zone
-0.1615086992915095,1924.8675808245032,1.5530418400698132,0.2491541788856336,0.402909638759984,0.599635518689009,-0.5748090488520616,764.3808451423522,0.9753917420487836,23.276659896857712,38056,0.0,38056,Wan (65),Tarn Taran,143305,31.35135,74.77329,1260.0,0.0,0.0,0.0,0.0,10,15,0,0,No,No ( Nearest facility5-10 kms),No ( Nearest facility2-5 kms),No ( Nearest facility5-10 kms),No,0.0,No,No,No,No,Not Available,0.0,No,0.0,0.0,14.0,0,0.0,No,,0,0.0,No,only one habitation is covered,0,0,4100,2100,2000,685,0,0,25,6,YesElectricity:Yes Toilet:Both Computer Lab:No Play Ground:Yes Drinking Water:Yes Mid Day Meal Scheme:Yes Primary School Students:200 Primary School Teachers:6,0,0,No,0.0,No,3000000.0,1000000.0,1376.0,1206.0,0.0,1206.0,0.0,1206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3950.0,672.0,2084.0,1866.0,0.0,0.0,0.0,0.0,0.0,0.0,685.0,0.0,0.0,0.0,764.3808451423522,1956.8327184879645,0.0,0.599635518689009,0.0,1206.0,603.0,0.0,0.0,0.0,0.0,1228.9935949814674,0.0,0,0,1,0,1921.31884765625,1,0,0,1,0,0,0,2,1,0,0,1,0.85,2-key (D+V),Policy Failure Zone
-0.1705010354562244,1921.2072885932075,1.568769942167103,0.2593976419116786,0.4144699451371593,0.6135281115719149,-0.5856028443960628,765.8657076766389,1.0,23.258833272840377,38090,0.0,38090,Basarke (69),Tarn Taran,143305,31.3153152,74.61812,1.47,0.0,0.25,0.35,0.0,0,200,0,5,No,No ( Nearest facilityMore than 10 kms),No ( Nearest facilityMore than 10 kms),Yes,No,0.0,No,No,No,No,Livestock Extension Officer,0.0,No,0.0,0.0,14.0,0,0.0,No,,3,0.0,No,100% habitations covered,0,153,1532,792,740,317,162,152,52,2,YesElectricity:Yes Toilet:Both Computer Lab:No Play Ground:Yes Drinking Water:Yes Mid Day Meal Scheme:Yes Primary School Students:84 Primary School Teachers:5,2,25,No,0.0,No,400000.0,250000.0,716.0,636.0,0.0,636.0,636.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2463.0,484.0,1275.0,1188.0,0.1700680272108843,0.5110410094637224,162.0,0.0,0.0,0.0,317.0,0.238095238095238,0.0648494104779196,0.0,765.8657076766389,2.306091814985641,0.0,0.6135281115719149,0.0,635.75,318.125,0.0,1.0,0.0,67.14413111221981,1.22,0.0,0,0,1,0,1921.205810546875,7,0,0,5,1,1,0,14,5,1,1,7,0.85,2-key (D+V),Biomass Procurement Zone
-0.1359681189235306,1924.6482739587384,1.4901883444027848,0.2215242317643073,0.3826076605709351,0.5630957517571802,-0.5382599055317289,809.5495793034928,1.0,23.097725514853323,38051,0.0,38051,Khalra (105),Tarn Taran,143305,31.6756763,74.88505,2.47,0.0,2.47,0.0,2.47,0,75,11,1,No,No ( Nearest facility5-10 kms),No ( Nearest facility5-10 kms),No ( Nearest facility5-10 kms),No,0.0,No,No,No,No,Not Available,0.0,No,0.0,0.0,0.0,0,0.0,No,,0,0.0,No,<50% habitation covered,0,122,3116,1610,1506,410,122,75,11,5,YesElectricity:Yes Toilet:Both Computer Lab:No Play Ground:Yes Drinking Water:Yes Mid Day Meal Scheme:Yes Primary School Students:221 Primary School Teachers:122,0,122,No,0.0,No,300000.0,10000.0,629.0,540.0,0.0,540.0,540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5831.0,1053.0,3104.0,2727.0,1.0,0.2975609756097561,122.0,0.0,0.0,0.0,410.0,0.0,0.5471648524578391,0.0,809.5495793034928,3.680765210674879,0.0,0.5630957517571802,0.0,537.53,271.235,0.0,1.0,0.0,46.67813458965408,0.0,0.0,0,0,1,0,1921.171142578125,1,0,0,1,0,0,0,2,1,0,0,1,0.85,2-key (D+V),Policy Failure Zone
-0.1766732118498329,1918.738283872604,1.7258211366766034,0.2619295488798573,0.4036936038263629,0.6056067840789038,-0.5610259523745631,745.6502520960723,1.0,23.31895113707777,38100,0.0,38100,Thathi Jaimal Singh (63),Tarn Taran,143303,31.2072067,74.6590958,2.47,0.0,0.0,0.0,0.0,0,0,0,0,No,Yes,Yes,Yes,No,0.0,Yes,Yes,Yes,No,Not Available,0.0,No,0.0,0.0,0.0,0,0.0,No,,0,0.0,No,50 to 100% habitations covered,0,0,755,453,302,197,0,0,0,17,YesElectricity:Yes Toilet:Girls Toilet Computer Lab:No Play Ground:No Drinking Water:No Mid Day Meal Scheme:No Primary School Students:11 Primary School Teachers:2,0,0,No,0.0,No,0.0,0.0,309.0,260.0,0.0,260.0,0.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1087.0,190.0,579.0,508.0,0.0,0.0,0.0,0.0,0.0,0.0,197.0,0.0,0.0,0.0,745.6502520960723,4.262778207591211,0.0,0.6056067840789038,0.0,260.0,130.0,0.0,0.0,0.0,0.0,2.47,0.0,0,0,1,0,1921.0252685546875,1,0,0,1,0,0,0,2,1,0,0,1,0.85,2-key (D+V),Policy Failure Zone
